9.0, -4.0, 6.0, 4.0, 3.0, -6.0, -5.0, 6.0, 1.0, 1.0, 2.0, -10.0, 0.0, 0.0, -4.0, -2.0, 0.0, -1.0, -9.0, -1.0, 50.0, 3.0, -9.0, -4.0, 6.0, 7.0, 1.0, -9.0, 0.0, -8.0, 6.0, 97.0, 411.0
4.0, 9.0, -8.0, 6.0, -6.0, 1.0, -6.0, 5.0, -7.0, 9.0, -3.0, -6.0, 6.0, 9.0, -6.0, -10.0, 0.0, 4.0, 5.0, 0.0, 6.0, 5.0, -10.0, 0.0, -3.0, -7.0, 1.0, 3.0, -1.0, -9.0, 2.0, 19.0, 481.0
-5.0, 2.0, -6.0, -7.0, 0.0, -7.0, -9.0, -8.0, 4.0, -6.0, -3.0, 5.0, 4.0, 9.0, -4.0, 1.0, -5.0, -3.0, -3.0, -8.0, 63.0, 3.0, -6.0, -1.0, 2.0, 6.0, 9.0, 5.0, -5.0, -1.0, 4.0, 82.0, 231.0
-3.0, -9.0, 6.0, 7.0, -5.0, 3.0, -4.0, 2.0, -4.0, 8.0, -10.0, 0.0, -5.0, -7.0, 8.0, -9.0, 7.0, 0.0, 6.0, 8.0, 54.0, -1.0, 9.0, -7.0, -1.0, 2.0, 2.0, -6.0, -3.0, -4.0, -3.0, 55.0, 401.0
7.0, -8.0, -2.0, 3.0, -2.0, 2.0, -8.0, 4.0, 8.0, -4.0, 1.0, -3.0, 9.0, 9.0, 2.0, 1.0, -8.0, 4.0, -1.0, 8.0, 56.0, 4.0, -5.0, -7.0, 7.0, -9.0, -6.0, 3.0, 6.0, 8.0, 0.0, 4.0, 354.0
-8.0, 7.0, -3.0, 7.0, 3.0, 4.0, 4.0, -7.0, 5.0, -9.0, 3.0, 3.0, -10.0, -8.0, 3.0, 2.0, -5.0, 4.0, 1.0, 7.0, 82.0, 1.0, -9.0, -8.0, 3.0, -7.0, 1.0, -4.0, -10.0, 6.0, 0.0, 64.0, 471.0
8.0, -4.0, -7.0, 4.0, -3.0, 5.0, -9.0, -9.0, -3.0, -3.0, 2.0, -6.0, 2.0, -2.0, -4.0, -3.0, -8.0, -9.0, -7.0, -1.0, 34.0, -10.0, -7.0, -9.0, 9.0, 4.0, 4.0, 3.0, 4.0, -5.0, 1.0, 72.0, 339.0
-6.0, 2.0, -2.0, 2.0, -9.0, -1.0, 9.0, 8.0, 5.0, 2.0, -4.0, -4.0, 1.0, -2.0, 8.0, 9.0, -8.0, -2.0, -3.0, -2.0, 59.0, -10.0, -10.0, -4.0, 9.0, -5.0, 2.0, 1.0, -7.0, 9.0, 4.0, 89.0, 431.0
-7.0, -8.0, 2.0, -4.0, -6.0, -7.0, -1.0, -6.0, 0.0, 8.0, -9.0, -7.0, -8.0, 1.0, -7.0, 4.0, 5.0, 8.0, 8.0, -3.0, 27.0, -2.0, -9.0, -1.0, 5.0, -4.0, 6.0, -6.0, 7.0, -10.0, -5.0, 90.0, 251.0
2.0, -5.0, 1.0, 6.0, -3.0, -7.0, -10.0, 0.0, 7.0, 0.0, 8.0, -1.0, -6.0, 6.0, -6.0, 2.0, -6.0, 2.0, -2.0, -9.0, 68.0, -10.0, 5.0, 2.0, 0.0, 9.0, -3.0, 1.0, 4.0, -10.0, 3.0, 96.0, 331.0
