6.0, -4.0, -5.0, -9.0, -10.0, -6.0, -10.0, -8.0, 5.0, 8.0, 72.0, -7.0, 5.0, 9.0, 5.0, -2.0, 26.0, 251.0
4.0, -6.0, 0.0, 7.0, -4.0, 6.0, -6.0, 5.0, 3.0, 2.0, 57.0, -5.0, 8.0, -8.0, 3.0, -10.0, 89.0, 211.0
1.0, 1.0, 8.0, 7.0, 8.0, 9.0, -9.0, -10.0, 7.0, -2.0, 88.0, -5.0, -7.0, -2.0, -6.0, 5.0, 22.0, 251.0
-1.0, -3.0, 5.0, -4.0, 7.0, 7.0, 7.0, -7.0, 4.0, 4.0, 76.0, 7.0, 5.0, -5.0, -5.0, 7.0, 89.0, 189.0
5.0, -8.0, -9.0, -2.0, 4.0, -1.0, 6.0, 8.0, -8.0, -8.0, 42.0, 9.0, -1.0, -5.0, 6.0, 2.0, 77.0, 259.0
2.0, -1.0, 1.0, -10.0, 4.0, -10.0, -2.0, 4.0, 6.0, -7.0, 59.0, -5.0, 0.0, 4.0, 3.0, 9.0, 15.0, 147.0
-2.0, 1.0, -9.0, 5.0, -1.0, 9.0, -9.0, 6.0, 7.0, -8.0, 50.0, -8.0, 1.0, -10.0, 9.0, -4.0, 25.0, 161.0
6.0, 6.0, -9.0, 3.0, -9.0, 2.0, -2.0, 1.0, -6.0, -8.0, 6.0, 3.0, -7.0, -6.0, 9.0, -2.0, 30.0, 331.0
5.0, -2.0, 4.0, 2.0, 2.0, 6.0, 6.0, 3.0, 4.0, -5.0, 60.0, -3.0, -4.0, -2.0, -7.0, -4.0, 8.0, 121.0
-3.0, 7.0, -9.0, 7.0, -1.0, 9.0, 9.0, -6.0, 8.0, -4.0, 75.0, 9.0, -10.0, -6.0, 6.0, 6.0, 39.0, 241.0
-2.0, 7.0, -6.0, 3.0, -8.0, 1.0, -8.0, 2.0, 0.0, -10.0, 37.0, -3.0, -8.0, 7.0, -1.0, 6.0, 6.0, 218.0
3.0, -6.0, -4.0, -10.0, 5.0, 3.0, -3.0, -2.0, 5.0, 3.0, 23.0, -7.0, 2.0, 9.0, -2.0, -1.0, 90.0, 181.0
7.0, 8.0, -2.0, 2.0, -8.0, 2.0, -7.0, 4.0, 0.0, 5.0, 10.0, -9.0, -3.0, -5.0, 6.0, 8.0, 14.0, 256.0
8.0, 1.0, -6.0, 5.0, 3.0, 0.0, -10.0, 8.0, 7.0, -6.0, 3.0, 4.0, -2.0, -6.0, 9.0, 7.0, 29.0, 181.0
4.0, 8.0, -6.0, 7.0, -1.0, 7.0, 5.0, 7.0, -5.0, 0.0, 45.0, 4.0, -10.0, -8.0, -4.0, -5.0, 53.0, 200.0
5.0, 7.0, -5.0, -2.0, 0.0, 2.0, 2.0, 2.0, -2.0, 2.0, 95.0, 6.0, 1.0, -9.0, 1.0, -4.0, 52.0, 191.0
-1.0, -3.0, -8.0, -1.0, -4.0, 7.0, 2.0, -9.0, -1.0, 8.0, 52.0, -10.0, -6.0, -9.0, -10.0, -2.0, 47.0, 121.0
-8.0, 5.0, 9.0, -5.0, 6.0, -2.0, 4.0, 6.0, -7.0, -4.0, 21.0, -6.0, -10.0, 3.0, -1.0, 4.0, 74.0, 331.0
-9.0, -10.0, 4.0, 7.0, -2.0, -9.0, 3.0, -1.0, 6.0, 9.0, 21.0, -10.0, 0.0, 3.0, 4.0, -10.0, 20.0, 301.0
-2.0, -6.0, 6.0, 3.0, -7.0, -9.0, -3.0, -10.0, -3.0, -6.0, 41.0, 1.0, -3.0, 2.0, -2.0, 1.0, 19.0, 221.0
-5.0, -3.0, 0.0, -9.0, -8.0, 1.0, -10.0, 6.0, -1.0, -9.0, 79.0, -9.0, -5.0, -6.0, 1.0, 7.0, 25.0, 171.0
-6.0, -1.0, 5.0, 6.0, 2.0, 1.0, 4.0, -5.0, -3.0, 2.0, 94.0, 4.0, -3.0, 5.0, -3.0, 2.0, 83.0, 201.0
-6.0, -5.0, -1.0, 6.0, -10.0, -3.0, 1.0, 5.0, -3.0, 0.0, 61.0, 5.0, -4.0, 9.0, 9.0, 7.0, 92.0, 192.0
4.0, -3.0, -2.0, 5.0, 0.0, 8.0, -9.0, -10.0, 6.0, 2.0, 51.0, 0.0, -2.0, 8.0, 1.0, -9.0, 85.0, 141.0
-3.0, -3.0, -9.0, -8.0, -4.0, 0.0, -6.0, 8.0, 1.0, 4.0, 93.0, 2.0, 6.0, 0.0, 6.0, 8.0, 22.0, 121.0
-5.0, -3.0, 6.0, 7.0, -9.0, 0.0, -8.0, 8.0, -4.0, -9.0, 84.0, 3.0, 4.0, 9.0, 1.0, 0.0, 92.0, 246.0
3.0, 6.0, -3.0, -8.0, -8.0, -8.0, 6.0, 4.0, 9.0, -8.0, 38.0, -2.0, 8.0, -2.0, -8.0, -1.0, 99.0, 251.0
-8.0, -4.0, 3.0, 6.0, -7.0, -6.0, -7.0, -3.0, -5.0, -4.0, 95.0, 8.0, -9.0, -9.0, 5.0, -7.0, 35.0, 241.0
-9.0, 8.0, 4.0, -9.0, -1.0, 5.0, -10.0, 7.0, 7.0, -4.0, 89.0, 9.0, -7.0, 0.0, 2.0, 8.0, 18.0, 279.0
3.0, 9.0, -8.0, 4.0, 5.0, 8.0, 0.0, 4.0, 5.0, 8.0, 83.0, 6.0, 4.0, -10.0, -2.0, 3.0, 52.0, 205.0
-9.0, -4.0, 9.0, 1.0, 5.0, -4.0, 4.0, -6.0, 6.0, -9.0, 50.0, -2.0, -10.0, -9.0, -9.0, -8.0, 16.0, 281.0
-9.0, -6.0, 9.0, -8.0, 6.0, -2.0, 0.0, 1.0, 6.0, -2.0, 25.0, -7.0, 4.0, 1.0, -3.0, -5.0, 30.0, 314.0
-4.0, -4.0, 3.0, -5.0, -5.0, -10.0, -2.0, -10.0, 8.0, -4.0, 42.0, -8.0, -5.0, 0.0, 9.0, 2.0, 75.0, 121.0
8.0, -7.0, 6.0, -3.0, -4.0, -6.0, -8.0, 7.0, -7.0, -8.0, 9.0, 9.0, -10.0, 6.0, -4.0, 5.0, 88.0, 242.0
5.0, 4.0, -6.0, 3.0, -6.0, 3.0, -9.0, 4.0, 5.0, -9.0, 79.0, -8.0, 8.0, -9.0, 6.0, 5.0, 47.0, 241.0
-5.0, -2.0, -2.0, -5.0, -3.0, 6.0, -10.0, -4.0, -3.0, -7.0, 55.0, 3.0, 1.0, 4.0, 6.0, -6.0, 48.0, 81.0
8.0, 9.0, -2.0, -10.0, 2.0, -3.0, 4.0, -10.0, 8.0, 4.0, 57.0, -3.0, 7.0, 9.0, 2.0, -8.0, 72.0, 311.0
4.0, -6.0, 9.0, -10.0, 1.0, -6.0, -6.0, -1.0, -8.0, 0.0, 57.0, -9.0, 1.0, 5.0, 9.0, 7.0, 20.0, 247.0
0.0, -4.0, -4.0, 6.0, -3.0, 2.0, 4.0, 6.0, -8.0, 9.0, 84.0, 2.0, 1.0, 5.0, 6.0, 7.0, 17.0, 48.0
1.0, 0.0, 5.0, -9.0, -8.0, -10.0, -1.0, -6.0, -7.0, 2.0, 64.0, 9.0, -5.0, -2.0, 0.0, 5.0, 45.0, 228.0
-7.0, -3.0, 5.0, 8.0, -6.0, 2.0, 7.0, -10.0, -9.0, 9.0, 44.0, -10.0, 2.0, 0.0, -2.0, -2.0, 64.0, 261.0
-3.0, -9.0, 7.0, -2.0, -4.0, 6.0, -8.0, 2.0, 4.0, 5.0, 37.0, 8.0, 7.0, 8.0, -5.0, 4.0, 81.0, 164.0
-1.0, -5.0, 5.0, 5.0, 6.0, -8.0, -4.0, -2.0, -6.0, 8.0, 11.0, -9.0, 0.0, 3.0, 5.0, -8.0, 20.0, 221.0
-9.0, 1.0, -4.0, 6.0, 5.0, -3.0, 6.0, -8.0, 3.0, 6.0, 90.0, 7.0, 9.0, 4.0, -6.0, 6.0, 30.0, 171.0
-1.0, 2.0, 8.0, 4.0, 0.0, 4.0, -10.0, -2.0, 6.0, -1.0, 54.0, 6.0, -7.0, 5.0, 4.0, 5.0, 89.0, 151.0
-3.0, -9.0, 3.0, 6.0, -3.0, -8.0, 4.0, -10.0, 9.0, -3.0, 7.0, 4.0, -2.0, 3.0, 5.0, 4.0, 94.0, 207.0
-3.0, -5.0, -5.0, 0.0, -7.0, 4.0, 5.0, -1.0, 9.0, 9.0, 29.0, -8.0, 4.0, 2.0, -9.0, 1.0, 27.0, 81.0
-1.0, 6.0, 4.0, -2.0, -10.0, 1.0, -5.0, -6.0, -9.0, 4.0, 57.0, 9.0, 0.0, -3.0, -8.0, 2.0, 25.0, 221.0
-2.0, -9.0, 9.0, -7.0, 9.0, -7.0, 2.0, -3.0, -2.0, 4.0, 75.0, 7.0, -6.0, 7.0, -6.0, -8.0, 54.0, 341.0
-9.0, -8.0, -2.0, 5.0, -8.0, -9.0, -8.0, -9.0, -6.0, 5.0, 57.0, -10.0, 2.0, -9.0, -7.0, 5.0, 17.0, 221.0
